"","duracion_recorrido","id_estacion_origen","fecha_origen_recorrido","nombre_estacion_origen","fecha_destino_recorrido","id_estacion_destino","nombre_estacion_destino","id_usuario","direccion_estacion_origen","long_estacion_origen","lat_estacion_origen","direccion_estacion_destino","long_estacion_destino","lat_estacion_destino","periodo"
"1",442,83,"2020-11-24 20:02:36","083 - Paraná","2020-11-24 20:09:58",8,"008 - Congreso",7705,"1590 Lavalle",-58.389369346005,-34.6032697939405,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"2",2083,83,"2020-03-13 10:48:44","083 - Paraná","2020-03-13 11:23:27",8,"008 - Congreso",331437,"1590 Lavalle",-58.389369346005,-34.6032697939405,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"3",2,8,"2020-12-12 22:33:00","008 - Congreso","2020-12-12 22:33:02",8,"008 - Congreso",569327,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"4",2805,8,"2020-11-19 19:20:02","008 - Congreso","2020-11-19 20:06:47",8,"008 - Congreso",88589,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"5",683,8,"2020-11-03 17:46:43","008 - Congreso","2020-11-03 17:58:06",8,"008 - Congreso",231982,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"6",2873,8,"2020-10-12 13:08:46","008 - Congreso","2020-10-12 13:56:39",8,"008 - Congreso",706412,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"7",1111,8,"2020-09-23 18:54:59","008 - Congreso","2020-09-23 19:13:30",8,"008 - Congreso",93379,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"8",1572,8,"2020-09-06 15:55:38","008 - Congreso","2020-09-06 16:21:50",8,"008 - Congreso",678482,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"9",529,8,"2020-08-17 21:42:08","008 - Congreso","2020-08-17 21:50:57",8,"008 - Congreso",230252,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"10",236,8,"2020-07-31 23:41:55","008 - Congreso","2020-07-31 23:45:51",8,"008 - Congreso",675091,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"11",858,8,"2020-06-24 19:58:57","008 - Congreso","2020-06-24 20:13:15",8,"008 - Congreso",265369,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"12",1862,8,"2020-02-25 14:29:26","008 - Congreso","2020-02-25 15:00:28",8,"008 - Congreso",4924,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"13",1499,8,"2020-01-12 16:13:22","008 - Congreso","2020-01-12 16:38:21",8,"008 - Congreso",34737,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"14",1168,183,"2020-10-26 22:25:05","183 - VIRREY CEVALLOS","2020-10-26 22:44:33",8,"008 - Congreso",666448,"Mexico 1652",-58.3899694601005,-34.6157004745814,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"15",346,183,"2020-06-26 14:21:53","183 - VIRREY CEVALLOS","2020-06-26 14:27:39",8,"008 - Congreso",666121,"Mexico 1652",-58.3899694601005,-34.6157004745814,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"16",548,171,"2020-09-14 23:31:31","171 - Pasteur","2020-09-14 23:40:39",8,"008 - Congreso",310765,"519 Pasteur",-58.399752283848,-34.6032820435065,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"17",1002,144,"2020-10-25 02:52:03","144 - PUEYRREDÓN","2020-10-25 03:08:45",8,"008 - Congreso",692480,"684 Boulogne Sur Mer & Tucuman",-58.4060916410511,-34.6018750804349,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
"18",1745,112,"2020-08-04 14:43:18","112 - 9 de Julio","2020-08-04 15:12:23",8,"008 - Congreso",586253,"Bernardo Irigoyen 320",-58.3803802298427,-34.6120760386945,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644,2020
