long,lat,id,nombre,tipo,direccion_,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3893432777092,-34.5839065037098,1,FACULTAD DE DERECHO,,Facultad de Derecho,,,,,,,
-58.3822241278499,-34.5942429275099,2,9 DE JULIO e/ Santa Fe y Juncal,Estacionamiento Subterráneo,9 de Julio entre Santa Fe y Juncal,,, 9 de Julio entre Santa Fe y Juncal,,,,
-58.3815264680298,-34.6049740506335,3,OBELISCO NORTE,Estacionamiento Subterráneo,9 DE JULIO AV. y SARMIENTO,,, 9 DE JULIO AV. y SARMIENTO,San Nicolas,Comuna 1,,
-58.3817046392993,-34.6025555991402,4,9 DE JULIO Y LAVALLE,Estacionamiento Subterráneo,9 DE JULIO AV. y LAVALLE,,, 9 DE JULIO AV. y LAVALLE,San Nicolas,Comuna 1,,
-58.3810538657793,-34.6142383028654,5,9 DE JULIO e/ Belgrano y México,Estacionamiento Subterráneo,9 de Julio entre Belgrano y México,,, 9 de Julio entre Belgrano y México,,,,
-58.3768335380658,-34.5988120739609,6,CÓRDOBA,Estacionamiento Subterráneo,Córdoba entre Florida y Esmeralda,,,Córdoba entre Florida y Esmeralda,,,,
-58.3818577239264,-34.5901193920996,7,9 DE JULIO Y POSADAS,,9 DE JULIO AV. y POSADAS,,, 9 DE JULIO AV. y POSADAS,Retiro,Comuna 1,,
-58.3883982290444,-34.6053017619723,8,CENTRO CULTURAL SAN MARTÍN,,SARMIENTO 1537,SARMIENTO ,1537,,San Nicolas,Comuna 1,1042,C1042ABC
-58.3906763293045,-34.6097448426629,9,CONGRESO (Entre Ríos e Yrigoyen),Estacionamiento Subterráneo,"ENTRE RIOS AV. y YRIGOYEN, HIPOLITO",,,"ENTRE RIOS AV. y YRIGOYEN, HIPOLITO",Monserrat,Comuna 1,,
-58.3893862282885,-34.5938840693099,10,PLAZA VICENTE LÓPEZ Y PLANES,Estacionamiento Subterráneo,"Montevideo, Paraná y Arenales",,,"Montevideo, Paraná y Arenales",,,,
